Post code;Sub-municipality name (Dutch)
3211;Binkom
1910;Kampenhout
9120;Beveren
9520;Sint-Lievens-Houtem
9667;Sint-Kornelis-Horebeke
4452;
4101;
4210;
4802;
4900;
6470;
7801;
7080;
7811;
6031;
7640;
7782;
7743;
6591;
7180;
6182;
7011;
7502;
6590;
7062;
6223;
1110;Brussel
1005;Brussel
1310;
2980;Zoersel
2960;Brecht
2222;Itegem
2580;Putte
5520;
5070;
5336;
3670;Gruitrode
3732;Schalkhoven
3940;Hechtel
3960;Bree
8340;Moerkerke
8420;Wenduine
8511;Aalbeke
8573;Tiegem
8780;Oostrozebeke
6706;
6760;
3391;Meensel-Kiezegem
1980;Eppegem
3071;Erps-Kwerps
4630;
7750;
6140;
7941;
7350;
7170;
7780;
1041;Brussel
1046;Evere
1402;
2323;Wortel
2400;Dessel
5376;
5530;
5573;
5361;
3600;Genk
3700;Tongeren
3990;Peer
8000;Brugge
8400;Stene
8431;Wilskerke
8572;Kaster
8630;Bulskamp
8670;Oostduinkerke
6671;
6810;
6832;
6952;
6953;
1745;Opwijk
3294;Molenstede
1750;Sint-Martens-Lennik
9472;Iddergem
9680;Etikhove
9450;Denderhoutem
9401;Pollare
9820;Merelbeke
4432;
4102;
4160;
4960;
7784;
6240;
6041;
6674;
6830;
6941;
3390;Tielt
3202;Rillaar
1600;Sint-Pieters-Leeuw
3060;Bertem
9099;Wondelgem
9220;Hamme
9772;Wannegem-Lede
9992;Middelburg
4263;
4253;
4850;
4983;
4030;
4837;
4190;
4731;
4950;
4684;
4250;
7540;
7181;
7760;
7530;
7618;
7912;
6000;
7904;
7380;
7070;
1000;Sint-Joost-ten-Node
1160;Oudergem
1340;
2570;Duffel
2830;Willebroek
2450;Meerhout
2560;Kessel
2223;Schriek
2800;Mechelen
5521;
5100;
5332;
3680;Neeroeteren
3740;Bilzen
8940;Geluwe
8952;Wulvergem
6637;
8900;Ieper
8930;Menen
6680;
6704;
6740;
3400;Neerwinden
1800;Vilvoorde
1840;Londerzeel
5300;
5544;
5004;
3806;Velm
8530;Harelbeke
1701;Itterbeek
9310;Moorsel
9042;Sint-Kruis-Winkel
9520;Vlierzele
9552;Borsbeke
4728;
4520;
4987;
4557;
7130;
7503;
7622;
7603;
7041;
1170;Watermaal-Bosvoorde
1332;
1435;
1471;
1480;
2300;Turnhout
;
;
0;
2370;Arendonk
2243;Pulle
2160;Wommelgem
5370;
5564;
5555;
5360;
5032;
5380;
3621;Rekem
3770;Riemst
3790;Sint-Martens-Voeren
8210;Zedelgem
8490;Jabbeke
8552;Moen
8720;Markegem
8730;Beernem
8851;Koolskamp
6666;
6690;
6730;
6747;
6890;
3440;Zoutleeuw
3150;Haacht
3404;Attenhoven
3290;Schaffen
3321;Outgaarden
9690;Kwaremont
9750;Huise
9070;Heusden
9661;Parike
9240;Zele
9080;Lochristi
4860;
4690;
4841;
4130;
7863;
6460;
6511;
7548;
7700;
1031;Schaarbeek
1008;Brussel
1300;
1420;
5571;
5080;
5543;
3581;Beverlo
3583;Paal
3590;Diepenbeek
3640;Molenbeersel
3717;Herstappe
3722;Wintershoven
3891;Buvingen
3980;Tessenderlo
8550;Zwevegem
8553;Otegem
8691;Leisele
8700;Tielt
8760;Meulebeke
6840;
6870;
6983;
6987;
3120;Tremelo
1541;Sint-Pieters-Kapelle
3270;Scherpenheuvel
2310;Rijkevorsel
2547;Lint
2845;Niel
2060;Antwerpen
2627;Schelle
2381;Weelde
2150;Borsbeek
2387;Baarle-Hertog
7504;
7822;
1401;
1460;
2640;Mortsel
2382;Poppel
3472;Kersbeek-Miskom
3272;Testelt
3212;Pellenberg
1640;Sint-Genesius-Rode
3450;Geetbets
1540;Herne
9473;Welle
9112;Sinaai
9031;Drongen
9308;Hofstade
4730;
4632;
4351;
4480;
4910;
7510;
7020;
6534;
7860;
7330;
7864;
7100;
6531;
1780;Wemmel
9402;Meerbeke
9920;Lovendegem
9185;Wachtebeke
9030;Mariakerke
9140;Temse
4141;
4570;
6464;
7861;
7131;
6044;
6030;
7134;
6181;
7382;
7301;
6230;
1130;Brussel
1410;
1474;
2350;Vosselaar
2870;Puurs
2360;Oud-Turnhout
5364;
8640;Oostvleteren
8690;Alveringem
8791;Beveren
8880;Rollegem-Kapelle
6600;
6688;
6692;
6769;
6980;
1860;Meise
1650;Beersel
1742;Sint-Katherina-Lombeek
5001;
5000;
3530;Houthalen
3580;Beringen
3742;Martenslinde
3791;Remersdaal
3798;'s-Gravenvoeren
8460;Oudenburg
8582;Outrijve
5630;
5561;
5140;
5660;
5031;
5570;
3723;Guigoven
3840;Borgloon
3910;Neerpelt
8377;Houtave
8432;Leffinge
8520;Kuurne
8840;Staden
6700;
6824;
6838;
6924;
1630;Linkebeek
3040;Neerijse
9;Zichem
3000;Heverlee
1602;Vlezenbeek
3350;Wommersom
1932;Sint-Stevens-Woluwe
3070;Kortenberg
4710;
4453;
6060;
7040;
6536;
7804;
6542;
6461;
7531;
7532;
1000;Elsene
1390;
2235;Houtvenne
9550;Sint-Lievens-Esse
9100;Sint-Niklaas
9988;Watervliet
9250;Waasmunster
9150;Bazel
9810;Nazareth
9400;Ninove
4590;
4606;
4880;
4831;
6997;
1654;Huizingen
3118;Werchter
5621;
5640;
5537;
5020;
5377;
5081;
3501;Wimmertingen
3620;Lanaken
3950;Bocholt
8850;Ardooie
6821;
6834;
6852;
6853;
1653;Dworp
9270;Laarne
9290;Uitbergen
9681;Nukerke
4761;
4140;
4877;
4670;
4750;
4780;
4051;
4652;
7740;
6221;
7942;
7332;
7010;
6500;
6250;
7624;
7611;
7130;
6560;
7711;
6210;
7190;
1120;Brussel
1150;Sint-Pieters-Woluwe
1320;
1331;
1348;
1404;
2520;Broechem
2490;Balen
2530;Boechout
2270;Herenthout
5190;
5010;
5101;
5524;
3930;Achel
3945;Kwaadmechelen
8300;Knokke
8531;Hulste
8790;Waregem
8792;Desselgem
6920;
9521;Letterhoutem
4040;
4801;
4280;
4700;
4357;
4980;
6001;
7970;
7972;
7803;
6042;
612;Brussel
1000;Brussel
2275;Lille
2650;Edegem
2030;Antwerpen
2950;Kapellen
6831;
6971;
1804;Vilvoorde
1671;Elingen
1730;Asse
1702;Groot-Bijgaarden
3111;Wezemaal
1560;Hoeilaart
1601;Ruisbroek
9111;Belsele
9470;Denderleeuw
9950;Waarschoot
9688;Schorisse
9831;Deurle
5576;
5352;
5570;
5644;
5522;
3510;Kermt
3512;Stevoort
8434;Westende
8560;Moorsele
8908;Vlamertinge
8972;Proven
6782;
6812;
6820;
6830;
1830;Machelen
3128;Baal
1933;Sterrebeek
1703;Schepdaal
3050;Oud-Heverlee
1731;Relegem
9932;Ronsele
9968;Bassevelde
9636;Nederzwalm-Hermelgem
9041;Oostakker
4861;
4120;
4623;
4711;
4651;
4830;
4431;
4261;
4600;
7140;
6061;
7730;
7521;
7110;
6567;
7334;
6211;
1070;Anderlecht
1325;
1440;
1457;
1470;
1490;
2620;Hemiksem
2860;Sint-Katelijne-Waver
2550;Kontich
2390;Oostmalle
2470;Retie
2460;Lichtaart
2890;Oppuurs
2000;Antwerpen
2140;Borgerhout
5350;
5330;
5020;
3520;Zonhoven
3721;Vliermaalroot
6780;
6791;
6960;
8470;Gistel
8580;Avelgem
1761;Borchtlombeek
9052;Zwijnaarde
9910;Ursel
4162;
4683;
4254;
4650;
4820;
4654;
4430;
6440;
7911;
7024;
7012;
7810;
1044;Schaarbeek
1380;
2099;Antwerpen
2220;Heist-op-den-Berg
2250;Olen
2050;Antwerpen
2288;Bouwel
1700;Dilbeek
9860;Scheldewindeke
6630;
6781;
6813;
9790;Wortegem
9570;Deftinge
4458;
4031;
4650;
4560;
4770;
6110;
7034;
6532;
6530;
7604;
7500;
7333;
7803;
6594;
7910;
6120;
7506;
7783;
1200;Sint-Lambrechts-Woluwe
1049;Evere
1370;
2590;Berlaar
2431;Veerle
2801;Heffen
5560;
5363;
5600;
5641;
5501;
5651;
5030;
5150;
3660;Opglabbeek
8610;Handzame
8755;Ruiselede
6660;
6920;
1820;Steenokkerzeel
1502;Lembeek
3370;Vertrijk
1852;Beigem
6986;
3471;Hoeleden
3110;Rotselaar
9255;Buggenhout
9660;Nederbrakel
9551;Ressegem
4000;
4347;
4791;
4219;
4052;
4633;
6180;
7060;
6030;
6099;
6463;
7742;
6183;
5353;
3540;Herk-de-Stad
3668;Niel-bij-As
3890;Borlo
8902;Zillebeke
8958;Loker
8980;Zonnebeke
6851;
6929;
7390;
6220;
7133;
1212;Sint-Joost-ten-Node
1210;Sint-Joost-ten-Node
1083;Ganshoren
1190;Vorst
1357;
1367;
1428;
2540;Hove
2970;Schilde
2290;Vorselaar
9921;Vinderhoute
9931;Oostwinkel
4170;
4400;
4122;
4121;
4099;
4631;
4890;
4470;
7542;
7331;
7600;
6111;
6040;
7520;
1341;
1350;
2242;Pulderbos
2850;Boom
2491;Olmen
2480;Dessel
5310;
5670;
3792;Sint-Pieters-Voeren
8620;Ramskapelle
8951;Dranouter
6670;
6721;
6767;
1934;Diegem
3018;Wilsele
3201;Langdorp
3360;Bierbeek
3080;Tervuren
3380;Glabbeek-Zuurbemde
1651;Lot
3470;Kortenaken
9404;Aspelare
9840;Zevergem
9506;Grimminge
9160;Lokeren
9900;Eeklo
4287;
4620;
4217;
4420;
6150;
7610;
7522;
7370;
7602;
6010;
7321;
7906;
7608;
1315;
1473;
2280;Grobbendonk
2040;Berendrecht-Zandvliet-Lillo
5372;
5354;
5003;
5340;
5021;
3790;Moelingen
3900;Overpelt
8433;Slijpe
8583;Bossuit
8810;Lichtervelde
8870;Izegem
6661;
6673;
6681;
6690;
6792;
6833;
1770;Liedekerke
3473;Waanrode
3020;Winksele
1981;Hofstade
6660;
6717;
6761;
6950;
6990;
3381;Kapellen
3052;Blanden
1673;Beert
3140;Keerbergen
5333;
3650;Dilsen
3665;As
3720;Kortessem
3970;Leopoldsburg
8650;Klerken
8750;Wingene
8770;Ingelmunster
6640;
6687;
1570;Tollembeek
9032;Wondelgem
9630;Munkzwalm
9130;Kieldrecht
4540;
4367;
4834;
4602;
4020;
4300;
4608;
7712;
6032;
1081;Koekelberg
1050;Sint-Gillis
2330;Merksplas
2500;Lier
5012;
5502;
5572;
5580;
3560;Lummen
3690;Zutendaal
6723;
6820;
6940;
1880;Kapelle-op-den-Bos
1790;Hekelgem
3293;Kaggevinne
1785;Merchtem
9406;Outer
9971;Lembeke
9403;Neigem
9940;Evergem
9982;Sint-Jan-in-Eremo
9572;Sint-Martens-Lierde
9280;Lebbeke
4610;
4851;
4680;
4790;
4800;
4870;
4800;
4701;
4032;
6533;
7120;
7534;
7543;
7943;
6540;
7536;
7901;
7903;
7141;
1011;Brussel
1030;Schaarbeek
1450;
1461;
2840;Reet
3061;Leefdaal
1547;Bever
9400;Denderwindeke
9960;Assenede
9400;Nederhasselt
4650;
4840;
4537;
7513;
7850;
7971;
7501;
7160;
7643;
7642;
7870;
6543;
7387;
1035;Schaarbeek
1348;
1470;
2930;Brasschaat
2920;Kalmthout
2180;Ekeren
2660;Hoboken
5560;
3500;Hasselt
3511;Kuringen
3570;Alken
3920;Lommel
8450;Bredene
8501;Heule
8510;Bellegem
8551;Heestert
8793;Sint-Eloois-Vijve
8860;Lendelede
8950;Nieuwkerke
8953;Wijtschate
6750;
6762;
1652;Alsemberg
1701;Dilbeek
1620;Drogenbos
5060;
5374;
612;
5589;
5620;
5575;
5650;
5334;
3545;Halen
8540;Deerlijk
8587;Helkijn
8906;Elverdinge
6663;
6724;
1935;Zaventem
3090;Overijse
1851;Humbeek
3001;Heverlee
9050;Gentbrugge
9930;Zomergem
9890;Dikkelvenne
4530;
4252;
4783;
4041;
4771;
7033;
6593;
6141;
7973;
6596;
7940;
7781;
6441;
7890;
6238;
7063;
6224;
7030;
1180;Ukkel
1421;
2230;Herselt
2100;Deurne
5362;
3631;Uikhoven
3971;Heppen
8500;Kortrijk
8710;Wielsbeke
6743;
6790;
6811;
6856;
6887;
6972;
3221;Nieuwrode
3000;Leuven
1980;Zemst
3220;Kortrijk-Dutsel
1861;Wolvertem
1760;Pamel
1670;Pepingen
1755;Leerbeek
3460;Bekkevoort
7022;
7533;
7090;
7032;
1082;Sint-Agatha-Berchem
1400;
2812;Muizen
2910;Essen
2990;Wuustwezel
9320;Erembodegem
9090;Melle
9230;Wetteren
9880;Aalter
9970;Kaprijke
9420;Mere
9260;Schellebelle
4721;
4350;
4100;
4852;
4218;
7511;
7800;
9500;Ophasselt
4607;
4730;
4050;
4601;
4784;
4920;
4042;
7320;
7830;
7641;
1040;Brussel
1342;
1472;
2200;Herentals
2900;Schoten
2240;Zandhoven
2940;Stabroek
5500;
5022;
5541;
5542;
5520;
3550;Zolder
3793;Teuven
3803;Duras
3830;Wellen
3831;Herten
8370;Uitkerke
8430;Wilskerke
8680;Koekelare
8740;Pittem
8900;Dikkebus
6662;
6672;
6970;
1831;Diegem
3320;Hoegaarden
6860;
5351;
5540;
5550;
3582;Koersel
3850;Nieuwerkerken
8480;Eernegem
8570;Anzegem
8830;Hooglede
8978;Watou
3300;Tienen
3401;Walshoutem
3210;Lubbeek
1501;Buizingen
1950;Kraainem
9771;Nokere
9190;Stekene
9051;Sint-Denijs-Westrem
9700;Oudenaarde
9770;Kruishoutem
4181;
4342;
4161;
4650;
4257;
6210;
7802;
6200;
7021;
1060;Sint-Gillis
1300;
2170;Merksem
2630;Aartselaar
1033;Schaarbeek
1006;Brussel
1043;Schaarbeek
7000;
5523;
3800;Brustem
3941;Eksel
8554;Sint-Denijs
8904;Boezinge
8954;Westouter
8956;Kemmel
8970;Poperinge
6900;
3200;Aarschot
1674;Bellingen
3054;Vaalbeek
3010;Kessel-Lo
3053;Haasrode
9200;Dendermonde
9991;Adegem
9180;Moerbeke
9980;Sint-Laureins
9881;Bellem
9571;Hemelveerdegem
4163;
4990;
4450;
4970;
4053;
4681;
7512;
7620;
6142;
7862;
7300;
1105;Brussel
1050;Elsene
2320;Hoogstraten
2321;Meer
2531;Vremde
4672;
4451;
4621;
7823;
7191;
6462;
7623;
6075;
6020;
7601;
7061;
1020;Brussel
1090;Jette
1301;
1330;
2610;Wilrijk
9570;Sint-Maria-Lierde
9830;Sint-Martens-Latem
9300;Aalst
9340;Impe
9600;Ronse
9981;Sint-Margriete
9850;Nevele
9500;Overboelare
9170;Sint-Gillis-Waas
4624;
4577;
4260;
4821;
4500;
4782;
4671;
4000;
4260;
5024;
5170;
5590;
3724;Vliermaal
3746;Waltwilder
8301;Ramskapelle
8310;Sint-Kruis
8421;Vlissegem
8647;Pollinkhove
8660;Adinkerke
8800;Roeselare
8820;Torhout
8957;Mesen
6686;
6698;
6742;
6836;
6850;
6921;
1931;Diegem
3130;Betekom
3012;Wilsele
3271;Zichem
5330;
5562;
3870;Heers
8211;Aartrijke
8890;Moorslede
6984;
3078;Everberg
3384;Attenrode
3191;Hever
5680;
1080;Sint-Jans-Molenbeek
2600;Berchem
2340;Beerse
2861;Onze-Lieve-Vrouw-Waver
2440;Geel
2070;Zwijndrecht
2880;Bornem
2221;Booischot
1009;Brussel
1048;Brussel
3190;Boortmeerbeek
9800;Deinze
4780;
4630;
4760;
4171;
4360;
7880;
7538;
6530;
6280;
6592;
1741;Wambeek
1982;Elewijt
9620;Strijpen
9451;Kerksken
9000;Gent
4550;
4653;
4845;
7340;
7900;
7812;
7050;
7951;
1012;Brussel
1007;Brussel
1140;Evere
1360;
1430;
1476;
1495;
2430;Vorst
2328;Meerle
2820;Bonheiden
2260;Tongerlo
2811;Leest
2110;Wijnegem
5504;
5574;
3630;Mechelen-aan-de-Maas
3730;Hoeselt
8020;Waardamme
8200;Sint-Andries
8380;Lissewege
8420;Klemskerke
8581;Kerkhove
6741;
6800;
6880;
6922;
6951;
6982;
1733;Asse
1853;Strombeek-Bever
1930;Zaventem
3051;Sint-Joris-Weert
1740;Ternat
3461;Molenbeek-Wersbeek
4180;
4682;
4317;
4340;
4460;
4720;
7031;
7322;
6043;
7621;
6222;
7866;
7950;
1047;Elsene
1099;Brussel
1040;Etterbeek
2380;Ravels
2020;Antwerpen
2018;Antwerpen
5360;
5646;
5503;
5563;
5002;
3832;Ulbeek
8600;Beerst
8920;Langemark
6720;
6823;
6927;
1500;Halle
3454;Rummen
1850;Grimbergen
1970;Wezembeek-Oppem
9075;Wondelgem
9870;Olsene
9040;Sint-Amandsberg
9961;Boekhoute
9060;Zelzate
9990;Maldegem
